timestamp,T000000,T000001,T000002,T000003,T000004,T000005,T000006,T000007,T000008,T000009,T000010,T000011,T000012,T000013,T000014,T000015,T000016,T000017,T000018,T000019,T000020,T000021,T000022,T000023,T000024,T000025,T000026,T000027,T000028,T000029,T000030,T000031,T000032,T000033,T000034,T000035,T000036,T000037,T000038,T000039,T000040,T000041,T000042,T000043,T000044,T000045,T000046,T000047,T000048,T000049,T000050,T000051,T000052,T000053,T000054,T000055,T000056,T000057,T000058,T000059,T000060,T000061,T000062,T000063,T000064,T000065,T000066,T000067,T000068,T000069,T000070,T000071
1970-01-31,855.144865868006,496.99962902187,1333.5480214723,601.167279827624,507.766151378086,1297.44219753842,269.919320858466,317.535598007449,868.829235496394,15.5862086509541,637.692621105354,247.906292038101,662.157768260566,927.983921350116,1931.24892817947,1599.0927815014,947.074461900764,972.699094021591,627.272604421348,1130.1106148305,332.918696148982,179.241619909286,298.239095392091,124.562378255785,699.322812925727,619.30811059839,1631.46613872449,1026.48444308129,707.325771086596,692.308625954778,176.063121275377,528.283519492957,1099.8924905395,1297.49606079391,560.647531200749,305.725971880193,1053.26306260598,276.461500975659,2371.73048252746,576.229877206145,48.0495958760256,945.609161324717,352.875375482014,101.708294715284,2224.60649322368,1565.3375120506,681.115103626166,1287.20262892789,0.7332090274,0.7704448219,798297.0,5798787.72,4076.0,494863252.829998,1482847690.92,330.0,54505.0,4208.0,56823.0,12921.0,3478.0,1029.0,2872.0,135.0,1247.0,10472.0,141554.0,80354.0,45163.0,126103244.918,27872951.542,29006293.08
1970-02-28,847.292061506786,491.266201906838,1370.08923721857,541.750383544713,498.915097775562,1336.30022368148,278.916421187067,333.691927827524,903.852549251952,16.4191057203473,646.388706889129,282.612057857269,618.694686725204,914.98370840447,2038.05227643233,1097.36592724292,732.930464364847,1234.78316054806,910.543000426559,932.965313640468,324.84063115601,212.046553857547,366.534140212523,116.799563940028,773.006011394936,639.281822242027,1251.10248348185,1202.33617798042,683.574090073337,721.070205698991,189.124069494277,483.003882686422,1180.72835075089,1445.35774400181,516.640292818448,359.741317526771,1482.10917752775,282.745180787351,2896.09426878492,559.260840956339,37.8372173734044,1273.72945680161,310.816946040268,84.9842599150427,2541.11476295859,1157.43977891604,576.052786982164,1302.57576186831,0.7506773188,0.8165554071,509557.3,5709092.37,4377.0,530634951.429999,1478908472.05,312.0,76770.0,4386.0,70277.0,13745.0,3867.0,1188.0,2397.0,109.0,2031.0,11223.0,145307.0,63434.0,59215.0,126491861.216,24438446.424,26410360.87
1970-03-31,824.731660406105,514.497082757287,1415.0767383965,601.225894668691,513.571657484893,1278.90936398636,283.852866968233,331.852683605831,877.402024058297,16.0953730902653,618.520781126553,262.471337683287,472.213906752877,925.551814503275,2302.64644795456,892.560340310447,713.721387851362,1125.94502030656,929.673775187254,982.100982700369,242.140553973455,200.150711875624,367.052739710451,114.760815338061,653.94128722242,638.950687023172,1580.91601379626,1042.38559853179,819.623368311926,666.390081096781,177.026384780656,570.45891971621,1177.44509130464,1343.92336266728,501.275081352834,292.764301273171,941.377586620506,225.496864184281,2575.98214573558,732.576319190309,38.7661726324227,1656.0911100052,232.051441639547,99.4891530709063,2304.25640751326,1432.93704198015,694.958824235855,1604.24963877271,0.7399582243,0.7748933777,2028162.06,10126167.92,4487.0,540342113.629999,1468343750.87,371.0,64345.0,4457.0,57355.0,12684.0,4051.0,1033.0,2098.0,63.0,2028.0,8598.0,132619.0,68629.0,69359.0,127279731.17,25816060.496,28050453.12
1970-04-30,866.64540600304,505.818718617908,1281.41691205809,561.288486787686,507.190112559213,1296.70309177629,264.058978468412,332.566804115447,876.849132901394,15.6461865487059,593.041955505875,276.964073867146,634.145256092367,971.561527012792,2254.71769733322,1087.61008882521,868.976909563985,1354.56049868808,743.923763602207,920.415290713082,320.274305083726,166.327390494292,363.932271297681,116.985600743079,717.451662257673,588.652860591127,1739.74744847133,1089.49977931859,713.558641834982,644.042022848102,169.087997883835,536.640325544447,1160.87151627418,1245.77250469043,478.567472315061,334.069893322694,1131.009136562,251.293510996731,2237.81906353066,836.994312521585,52.9634133394985,1168.03638008041,286.465440266428,88.427595776948,1965.46735359122,1362.60147793877,738.967636982543,1728.88611165658,0.6981010195,0.765614127,1101006.69,6083396.98,4973.0,596748390.98,1467909401.17,220.0,55502.0,3561.0,49209.0,15787.0,3887.0,911.0,1829.0,71.0,2012.0,8215.0,140417.0,70061.0,68587.0,137646927.01,27140119.818,28426504.39
1970-05-31,928.333300035969,523.568994081256,1358.05975235088,543.068962131471,510.092496462219,1307.25915134282,260.57457244866,339.070031528404,899.33524548039,15.9540657327462,619.864855853115,276.666317208452,805.02858297387,1121.27360257403,2312.16979632974,1211.89073355978,788.749460395446,1281.14757321774,916.635269896324,1138.554071232,330.902059931637,207.555900726592,333.931918229202,147.969281039895,799.671795207768,643.073507831661,1415.10654744104,1057.38743387704,778.544389642221,652.122583777343,148.902081970591,600.453007948577,1208.28328209957,1294.8185326365,492.419343706317,345.509606330935,945.660439713091,300.845193615137,2615.02989240133,861.603196854723,43.5160631031779,1372.0313758486,222.951874905128,73.2237913069379,2602.43943413241,1408.40881838717,734.862458778351,1471.0775798677,0.7563117178,0.8030143505,1386926.94,6686543.48,5173.0,617489840.2,1470137504.84,171.0,48849.0,3963.0,48395.0,17090.0,3456.0,1020.0,1705.0,70.0,1958.0,10989.0,136071.0,71562.0,70256.0,129896052.738,25885444.67,27764175.96
1970-06-30,927.649280359846,525.329841684772,1384.9647125598,560.192329439483,506.45349100348,1307.68283227138,258.832521839053,317.369888059329,880.509324231618,16.6552104529811,608.183887644524,267.062074654183,680.479726109891,1247.0167858829,2320.8243916459,1380.96010158546,751.100430881954,1160.02065253997,877.943396452871,1120.72775869406,326.368324892106,233.457391824365,361.393980688109,127.080835276843,696.506494638356,682.777391940136,1586.46107788465,1143.22655544837,707.82337672027,683.160678103134,192.363727294265,564.261773935188,1258.92697482212,1316.01617734874,489.788615501993,320.255261503517,1178.33890585032,265.873978126054,2246.84548219759,580.481933408632,35.3561329760685,1471.25697987652,267.227919945366,82.0817982814545,2284.61504869183,1363.21363174982,618.781445963352,1831.80629991243,0.7674823735,0.8371294266,1702031.54,7259037.93,5387.0,639554154.6,1480626350.31,289.0,45807.0,2948.0,43145.0,10592.0,2782.0,889.0,1606.0,83.0,1719.0,12155.0,139884.0,74105.0,65419.0,124946562.154,27089191.064,29009032.51
1970-07-31,901.072254821959,529.642170419974,1276.75228898507,585.67078281243,514.185068333528,1334.96489734083,274.478706545364,324.39306390456,864.908560800064,16.0654554375765,616.623442194173,264.419006244533,581.324869990738,1063.99805277782,2195.87466467394,1334.50751855128,991.699093093693,1054.61259899134,626.424620966427,1022.88763533426,279.182170867188,188.414253035866,323.780641686802,113.239717740336,846.151235611354,584.854034025705,1491.8558563797,1260.54119631857,740.80129322059,759.559728359195,215.424669527371,503.464730701881,1274.52013257674,1389.76650810811,456.197874064572,306.644832345589,1136.59891543409,345.741688915193,2300.6842037978,816.583362474396,41.9758825385651,1480.82811101487,364.469842807743,80.1630886106605,2631.55097805506,1629.81484854338,632.133394083666,1690.10215503686,0.7891039503,0.8026885052,2804108.07,8129198.35,5454.0,646348733.0,1482716101.71,315.0,53461.0,3291.0,47382.0,14344.0,3272.0,834.0,1811.0,74.0,2115.0,10184.0,143428.0,66003.0,69450.0,127838434.67,20838516.258,30333118.28
1970-08-31,940.843420025213,528.609020368621,1321.85757178021,563.629411312282,510.417657873281,1312.1228326993,288.35926527622,336.028526285774,876.40961033727,17.1966886744674,582.184726385775,255.258662932618,555.421041724477,1130.21830259425,1795.6843095261,1483.08902213445,833.733887387299,1015.28662433385,885.928508160976,837.514798814607,238.226673233346,171.172094115704,283.586006186931,149.910960963702,622.079172515356,655.223616407509,1383.68802940324,1003.35474153623,683.512058715275,689.665999294239,159.410679712195,479.219611403618,1364.37967777514,1617.15950288041,472.689270276434,320.49830365258,1590.75394635406,312.962692389522,2051.31178384422,679.45939367643,50.9273127419806,1577.38844754214,277.64450824927,76.658487182992,2116.77908558668,1421.84101440008,576.088501372126,1321.54581674986,0.819623005,0.8842084425,2279762.23,5521119.74,5541.0,681226228.380001,1478754665.1,380.0,50741.0,2804.0,48725.0,17781.0,3148.0,749.0,1692.0,53.0,2011.0,12650.0,137460.0,71428.0,72227.0,129345632.002,21860141.076,29189448.04
1970-09-30,954.740175823436,531.297717479177,1334.17430371864,624.889590561371,514.088632510286,1389.21499378044,282.859533377227,321.333375402839,870.300330595062,15.7305870320893,605.347134809853,254.237254112799,566.673780226957,1068.59703025813,2079.17887523014,1125.2208753089,879.801159027663,1323.42032293901,1175.10733314639,938.20215740682,317.567913593266,225.020256976746,293.08016106851,111.124009267593,642.298796060113,689.601805197536,1364.16468455988,1031.98981113939,688.558797789578,819.826926460049,170.562208585706,503.418523330315,1186.09352553564,1377.49310518904,506.04604898138,302.01651455821,1504.48647766604,271.591643013195,2333.42548267652,1001.23482671018,50.8623371956177,1398.18285125876,242.588407259753,90.8466163188923,2455.04116036147,1737.67634176366,683.706904400561,1479.50626747518,0.7508605279,0.8771876987,2370143.8,5855704.73,5594.0,682259841.120001,1479942313.86,419.0,35016.0,2400.0,41152.0,18701.0,2953.0,655.0,1446.0,52.0,1539.0,12929.0,145714.0,72064.0,72578.0,130982967.188,21088719.222,26582863.34
1970-10-31,960.653429083165,518.13191267098,1305.3520866093,550.727763845429,492.939973213209,1326.7775166699,258.536999819335,348.749972029489,867.376420557062,15.7118182655554,610.729040046854,239.394288104529,651.941954949605,1262.68414391992,1939.21949158637,1219.49082778312,922.833879239886,1071.21612023526,989.391421582947,1004.4457433059,311.964165979175,186.285793950982,325.148610052027,91.969774724485,618.426276987483,679.213593839053,1525.62130582166,1077.59166409075,716.83119463415,613.879589166333,192.974667415596,511.067369199289,1263.04843471891,1412.33748649011,491.632520377887,316.165405825298,1520.96682525404,222.291684467345,2056.61534900993,652.508847550827,47.1232874249282,1546.44161114163,291.948294469891,93.7359657298185,2052.79417264896,1946.9034843681,561.546538946602,1377.94874906224,0.7638713987,0.8675490056,2476877.73,7628489.63,5755.0,703627685.990002,1482037035.39,295.0,45635.0,2456.0,51180.0,13040.0,3724.0,735.0,1733.0,59.0,2070.0,13679.0,135582.0,69571.0,83969.0,128621484.242,25951593.258,27641052.41
